formatted_date,high,low,open,close,volume,adjclose
2022-05-11,32013.40234375,28170.4140625,31016.18359375,28936.35546875,70388855818,28936.35546875
2022-05-12,30032.439453125,26350.490234375,28936.734375,29047.751953125,66989173272,29047.751953125
2022-05-13,30924.802734375,28782.330078125,29030.91015625,29283.103515625,42841124537,29283.103515625
2022-05-14,30192.802734375,28702.91015625,29285.642578125,30101.265625,28579868620,30101.265625
2022-05-15,31308.19140625,29527.740234375,30098.5859375,31305.11328125,25835372065,31305.11328125
2022-05-16,31305.341796875,29251.884765625,31304.375,29862.91796875,32613897286,29862.91796875
2022-05-17,30694.490234375,29570.302734375,29862.408203125,30425.857421875,29101473475,30425.857421875
2022-05-18,30618.716796875,28720.271484375,30424.478515625,28720.271484375,31285268319,28720.271484375
2022-05-19,30430.751953125,28708.955078125,28720.359375,30314.333984375,33773447707,30314.333984375
2022-05-20,30664.9765625,28793.60546875,30311.119140625,29200.740234375,30749382605,29200.740234375
2022-05-21,29588.869140625,29027.39453125,29199.859375,29432.2265625,17274840442,29432.2265625
2022-05-22,30425.861328125,29275.18359375,29432.47265625,30323.72265625,21631532270,30323.72265625
2022-05-23,30590.5859375,28975.560546875,30309.396484375,29098.91015625,31483454557,29098.91015625
2022-05-24,29774.35546875,28786.58984375,29101.125,29655.5859375,26616506245,29655.5859375
2022-05-25,30157.78515625,29384.94921875,29653.134765625,29562.361328125,27525063551,29562.361328125
2022-05-26,29834.16015625,28261.90625,29564.77734375,29267.224609375,36774325352,29267.224609375
2022-05-27,29346.943359375,28326.61328125,29251.140625,28627.57421875,36582005748,28627.57421875
2022-05-28,28814.900390625,28554.56640625,28622.625,28814.900390625,35519577634,28814.900390625
2022-05-29,29498.009765625,28841.107421875,29019.8671875,29445.95703125,18093886409,29445.95703125
2022-05-30,31949.630859375,29303.572265625,29443.365234375,31726.390625,39277993274,31726.390625
2022-05-31,32249.86328125,31286.154296875,31723.865234375,31792.310546875,33538210634,31792.310546875
2022-06-01,31957.28515625,29501.587890625,31792.5546875,29799.080078125,41135817341,29799.080078125
2022-06-02,30604.734375,29652.705078125,29794.890625,30467.48828125,29083562061,30467.48828125
2022-06-03,30633.03515625,29375.689453125,30467.806640625,29704.390625,26175547452,29704.390625
2022-06-04,29930.564453125,29500.005859375,29706.138671875,29832.9140625,16588370958,29832.9140625
2022-06-05,30117.744140625,29574.44921875,29835.1171875,29906.662109375,17264085441,29906.662109375
2022-06-06,31693.291015625,29894.1875,29910.283203125,31370.671875,31947336829,31370.671875
2022-06-07,31489.68359375,29311.68359375,31371.7421875,31155.478515625,40770974039,31155.478515625
2022-06-08,31253.69140625,29944.404296875,31151.48046875,30214.35546875,30242059107,30214.35546875
2022-06-09,30609.310546875,30020.265625,30215.279296875,30111.998046875,21692004719,30111.998046875
2022-06-10,30245.80859375,28978.146484375,30110.330078125,29083.8046875,29867476527,29083.8046875
2022-06-11,29401.916015625,28236.212890625,29084.666015625,28360.810546875,27246574439,28360.810546875
2022-06-12,28502.685546875,26762.6484375,28373.513671875,26762.6484375,34163220274,26762.6484375
2022-06-13,26795.58984375,22141.2578125,26737.578125,22487.388671875,68204556440,22487.388671875
2022-06-14,23018.951171875,20950.818359375,22487.986328125,22206.79296875,50913575242,22206.79296875
2022-06-15,22642.671875,20178.376953125,22196.73046875,22572.83984375,54912007015,22572.83984375
2022-06-16,22868.921875,20265.2265625,22576.3046875,20381.650390625,31183975654,20381.650390625
2022-06-17,21243.3125,20326.51953125,20385.71875,20471.482421875,27132421514,20471.482421875
2022-06-18,20736.041015625,17708.623046875,20473.42578125,19017.642578125,42009436760,19017.642578125
2022-06-19,20683.822265625,18067.15234375,19010.90234375,20553.271484375,35329942625,20553.271484375
2022-06-20,20913.322265625,19689.169921875,20553.37109375,20599.537109375,30818458597,20599.537109375
2022-06-21,21620.62890625,20415.0625,20594.294921875,20710.59765625,28970212744,20710.59765625
2022-06-22,20835.75,19848.078125,20719.4140625,19987.029296875,28574793478,19987.029296875
2022-06-23,21135.76171875,19950.1171875,19986.607421875,21085.876953125,26188097173,21085.876953125
2022-06-24,21472.91796875,20777.51171875,21084.6484375,21231.65625,24957784918,21231.65625
2022-06-25,21520.9140625,20964.5859375,21233.609375,21502.337890625,18372538715,21502.337890625
2022-06-26,21783.724609375,21016.26953125,21496.494140625,21027.294921875,18027170497,21027.294921875
2022-06-27,21478.08984375,20620.19921875,21028.23828125,20735.478515625,20965695707,20735.478515625
2022-06-28,21164.423828125,20228.8125,20731.544921875,20280.634765625,21381535161,20280.634765625
2022-06-29,20364.15625,19937.791015625,20281.169921875,20104.0234375,23552740328,20104.0234375
2022-06-30,20141.16015625,18729.65625,20108.3125,19784.7265625,26267239923,19784.7265625
2022-07-01,20632.671875,19073.708984375,19820.470703125,19269.3671875,30767551159,19269.3671875
2022-07-02,19371.748046875,19027.08203125,19274.8359375,19242.255859375,18100418740,19242.255859375
2022-07-03,19558.26953125,18966.951171875,19242.095703125,19297.076171875,16390821947,19297.076171875
2022-07-04,20258.748046875,19063.06640625,19297.314453125,20231.26171875,21594638208,20231.26171875
2022-07-05,20635.466796875,19341.232421875,20225.353515625,20190.115234375,26715546990,20190.115234375
2022-07-06,20595.529296875,19823.51171875,20194.619140625,20548.24609375,24598943708,20548.24609375
2022-07-07,21771.81640625,20296.103515625,20547.814453125,21637.587890625,25814972520,21637.587890625
2022-07-08,22314.94140625,21257.453125,21637.154296875,21731.1171875,49899834488,21731.1171875
2022-07-09,21877.138671875,21445.95703125,21716.828125,21592.20703125,29641127858,21592.20703125
2022-07-10,21591.080078125,20727.123046875,21591.080078125,20860.44921875,28688807249,20860.44921875
2022-07-11,20856.353515625,19924.5390625,20856.353515625,19970.556640625,24150249025,19970.556640625
